,Date,Prcp
0,2016-08-23,0.0
1009,2016-08-23,
1529,2016-08-23,1.79
704,2016-08-23,0.05
361,2016-08-23,0.15
1881,2016-08-23,0.7
1192,2016-08-23,0.02
1,2016-08-24,0.08
1530,2016-08-24,2.15
705,2016-08-24,2.28
1010,2016-08-24,
1882,2016-08-24,1.45
1193,2016-08-24,1.22
362,2016-08-24,2.15
2,2016-08-25,0.08
706,2016-08-25,0.0
1194,2016-08-25,0.21
1531,2016-08-25,0.06
1011,2016-08-25,0.0
1883,2016-08-25,0.11
363,2016-08-25,0.08
364,2016-08-26,0.03
1532,2016-08-26,0.01
1195,2016-08-26,0.0
1012,2016-08-26,0.04
707,2016-08-26,0.02
3,2016-08-26,0.0
365,2016-08-27,0.18
1533,2016-08-27,0.12
4,2016-08-27,0.0
1196,2016-08-27,0.0
708,2016-08-27,0.02
1884,2016-08-27,
1534,2016-08-28,0.6
709,2016-08-28,0.14
5,2016-08-28,0.01
1197,2016-08-28,0.14
366,2016-08-28,0.14
1885,2016-08-28,2.07
6,2016-08-29,0.0
1013,2016-08-29,
710,2016-08-29,0.04
1198,2016-08-29,0.0
367,2016-08-29,0.17
1886,2016-08-29,0.9
1535,2016-08-29,0.35
1536,2016-08-30,0.0
1014,2016-08-30,0.02
368,2016-08-30,0.0
1887,2016-08-30,0.05
7,2016-08-30,0.0
1199,2016-08-30,0.0
369,2016-08-31,0.1
711,2016-08-31,
1537,2016-08-31,0.24
8,2016-08-31,0.13
1015,2016-08-31,
1888,2016-08-31,2.46
1200,2016-08-31,0.25
712,2016-09-01,0.0
1538,2016-09-01,0.02
9,2016-09-01,0.0
1016,2016-09-01,
1889,2016-09-01,0.01
370,2016-09-01,0.0
10,2016-09-02,0.0
1890,2016-09-02,0.03
371,2016-09-02,0.02
1201,2016-09-02,
1017,2016-09-02,
1539,2016-09-02,0.01
713,2016-09-02,0.19
1891,2016-09-03,1.0
1202,2016-09-03,0.08
1540,2016-09-03,0.12
11,2016-09-03,0.0
372,2016-09-03,0.07
373,2016-09-04,0.03
1541,2016-09-04,0.14
1203,2016-09-04,0.74
12,2016-09-04,0.03
1892,2016-09-04,0.44
1204,2016-09-05,0.02
1542,2016-09-05,0.03
374,2016-09-05,0.11
714,2016-09-05,
13,2016-09-05,
1893,2016-09-05,0.18
14,2016-09-06,
375,2016-09-06,0.05
1205,2016-09-06,0.03
1894,2016-09-06,1.0
1543,2016-09-06,0.11
715,2016-09-06,0.04
1544,2016-09-07,0.16
15,2016-09-07,0.05
1206,2016-09-07,0.11
376,2016-09-07,0.1
1895,2016-09-07,1.35
716,2016-09-07,0.23
1545,2016-09-08,0.07
1207,2016-09-08,0.01
1896,2016-09-08,0.15
377,2016-09-08,0.22
717,2016-09-08,0.01
1018,2016-09-08,
16,2016-09-08,0.0
1208,2016-09-09,0.23
1897,2016-09-09,0.35
718,2016-09-09,0.29
1019,2016-09-09,
378,2016-09-09,0.01
17,2016-09-09,0.03
1546,2016-09-09,0.16
18,2016-09-10,0.0
1209,2016-09-10,0.14
1898,2016-09-10,1.16
379,2016-09-10,0.01
1547,2016-09-10,0.09
1548,2016-09-11,0.3
1210,2016-09-11,0.12
380,2016-09-11,0.18
19,2016-09-11,0.05
1899,2016-09-11,0.6
1900,2016-09-12,1.04
719,2016-09-12,
381,2016-09-12,0.04
1020,2016-09-12,
1549,2016-09-12,0.31
20,2016-09-12,0.0
1211,2016-09-12,0.15
1021,2016-09-13,
21,2016-09-13,0.02
1901,2016-09-13,1.2
720,2016-09-13,0.32
1212,2016-09-13,0.46
1550,2016-09-13,0.34
382,2016-09-13,0.37
22,2016-09-14,1.32
383,2016-09-14,0.9
1213,2016-09-14,1.19
721,2016-09-14,1.84
1902,2016-09-14,6.7
1551,2016-09-14,2.33
1022,2016-09-14,
23,2016-09-15,0.42
1023,2016-09-15,
1214,2016-09-15,0.17
384,2016-09-15,0.12
722,2016-09-15,0.07
1903,2016-09-15,3.35
1552,2016-09-15,0.83
1904,2016-09-16,0.61
1024,2016-09-16,0.0
24,2016-09-16,0.06
723,2016-09-16,0.07
1553,2016-09-16,0.06
1215,2016-09-16,0.01
385,2016-09-16,0.01
1216,2016-09-17,0.0
1905,2016-09-17,0.23
386,2016-09-17,0.04
1554,2016-09-17,0.36
25,2016-09-17,0.05
387,2016-09-18,0.0
1555,2016-09-18,0.07
1217,2016-09-18,0.04
1906,2016-09-18,0.42
26,2016-09-18,0.0
1907,2016-09-19,0.25
1556,2016-09-19,0.01
1218,2016-09-19,0.05
27,2016-09-19,0.0
388,2016-09-19,0.01
724,2016-09-19,
1025,2016-09-19,
1026,2016-09-20,0.0
389,2016-09-20,0.09
1557,2016-09-20,0.22
28,2016-09-20,0.0
1219,2016-09-20,0.04
725,2016-09-20,0.25
1908,2016-09-20,0.43
390,2016-09-21,0.06
29,2016-09-21,0.0
1558,2016-09-21,0.07
726,2016-09-21,0.02
1909,2016-09-21,1.02
1220,2016-09-21,0.0
1910,2016-09-22,0.75
391,2016-09-22,0.09
1027,2016-09-22,0.06
1221,2016-09-22,0.01
727,2016-09-22,0.17
1559,2016-09-22,0.34
30,2016-09-22,0.02
1911,2016-09-23,0.33
1028,2016-09-23,0.0
1560,2016-09-23,0.94
728,2016-09-23,0.15
1222,2016-09-23,0.0
392,2016-09-23,0.15
31,2016-09-23,0.0
393,2016-09-24,0.0
1912,2016-09-24,0.27
1223,2016-09-24,0.0
32,2016-09-24,0.0
729,2016-09-24,0.0
1561,2016-09-24,0.01
33,2016-09-25,0.0
394,2016-09-25,0.02
1562,2016-09-25,0.03
730,2016-09-25,0.0
1224,2016-09-25,0.0
1913,2016-09-25,0.04
731,2016-09-26,0.02
1563,2016-09-26,0.17
1914,2016-09-26,1.02
395,2016-09-26,0.06
1225,2016-09-26,0.34
34,2016-09-26,0.06
1029,2016-09-26,
396,2016-09-27,0.12
1226,2016-09-27,0.05
732,2016-09-27,0.0
1915,2016-09-27,1.0
1564,2016-09-27,0.17
35,2016-09-27,0.02
1227,2016-09-28,0.0
36,2016-09-28,0.0
1030,2016-09-28,0.0
1916,2016-09-28,0.05
397,2016-09-28,0.08
1565,2016-09-28,0.0
733,2016-09-28,0.0
734,2016-09-29,0.2
37,2016-09-29,0.0
1031,2016-09-29,0.04
1566,2016-09-29,0.59
398,2016-09-29,0.49
1917,2016-09-29,1.49
1228,2016-09-29,0.18
1567,2016-09-30,0.25
399,2016-09-30,0.31
1032,2016-09-30,
1918,2016-09-30,0.38
38,2016-09-30,0.0
735,2016-09-30,0.06
1229,2016-09-30,0.15
39,2016-10-01,0.0
400,2016-10-01,0.14
736,2016-10-01,0.08
1568,2016-10-01,0.14
1230,2016-10-01,0.07
1919,2016-10-01,1.02
1920,2016-10-02,0.61
1231,2016-10-02,0.0
401,2016-10-02,0.02
737,2016-10-02,0.03
1569,2016-10-02,0.06
40,2016-10-02,0.0
738,2016-10-03,0.03
1921,2016-10-03,0.46
1232,2016-10-03,0.0
1033,2016-10-03,
402,2016-10-03,0.04
1570,2016-10-03,0.16
41,2016-10-03,0.0
1922,2016-10-04,3.46
1233,2016-10-04,0.0
1034,2016-10-04,
1571,2016-10-04,0.03
739,2016-10-04,0.0
403,2016-10-04,0.0
42,2016-10-04,0.0
1923,2016-10-05,0.81
404,2016-10-05,0.0
1572,2016-10-05,0.01
740,2016-10-05,0.0
1234,2016-10-05,0.0
1035,2016-10-05,
43,2016-10-05,0.0
741,2016-10-06,0.0
1235,2016-10-06,0.0
1924,2016-10-06,0.04
1036,2016-10-06,0.07
1573,2016-10-06,0.0
405,2016-10-06,0.05
44,2016-10-06,0.0
1236,2016-10-07,0.0
1037,2016-10-07,
1574,2016-10-07,0.0
406,2016-10-07,0.0
1925,2016-10-07,0.01
45,2016-10-07,0.0
742,2016-10-07,0.0
1926,2016-10-08,0.04
1575,2016-10-08,0.0
1237,2016-10-08,0.0
407,2016-10-08,0.0
46,2016-10-08,0.0
1927,2016-10-09,0.0
1576,2016-10-09,0.0
1238,2016-10-09,0.0
47,2016-10-09,0.0
408,2016-10-09,0.0
409,2016-10-10,0.0
1239,2016-10-10,0.0
48,2016-10-10,0.0
1577,2016-10-10,0.0
1928,2016-10-10,0.0
743,2016-10-10,
49,2016-10-11,0.0
744,2016-10-11,0.04
1578,2016-10-11,0.28
410,2016-10-11,0.02
1240,2016-10-11,0.0
1929,2016-10-11,0.35
1038,2016-10-11,
411,2016-10-12,0.03
50,2016-10-12,0.0
1930,2016-10-12,0.02
1241,2016-10-12,0.0
1579,2016-10-12,0.03
745,2016-10-12,0.0
51,2016-10-13,0.0
1931,2016-10-13,0.06
1580,2016-10-13,0.0
1039,2016-10-13,
746,2016-10-13,0.02
1242,2016-10-13,0.0
412,2016-10-13,0.0
